name,pseudo_mIoU,pseudo_mprecision,pseudo_mrecall,enhanced_mIoU,enhanced_mprecision,enhanced_mrecall,mIoU_delta,mprecision_delta,mrecall_delta
2007_002669,0.699,0.938,0.731,0.881,0.937,0.933,0.18200000000000005,-0.0009999999999998899,0.20200000000000007
2007_002760,0.932,0.999,0.933,0.934,1.0,0.934,0.0020000000000000018,0.0010000000000000009,0.0010000000000000009
2007_002789,0.501,0.717,0.554,0.505,0.645,0.526,0.0040000000000000036,-0.07199999999999995,-0.028000000000000025
2007_002845,0.938,0.995,0.943,0.996,0.997,0.999,0.05800000000000005,0.0020000000000000018,0.05600000000000005
2007_002895,0.881,0.969,0.907,0.981,0.986,0.994,0.09999999999999998,0.017000000000000015,0.08699999999999997
2007_002896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007_002914,0.753,0.84,0.892,0.841,0.847,0.993,0.08799999999999997,0.007000000000000006,0.10099999999999998
2007_002953,0.789,0.804,0.972,0.785,0.796,0.978,-0.0040000000000000036,-0.008000000000000007,0.006000000000000005
2007_002954,0.924,0.986,0.936,0.991,0.994,0.997,0.06699999999999995,0.008000000000000007,0.06099999999999994
2007_002967,0.534,0.989,0.537,0.566,0.987,0.57,0.03199999999999992,-0.0020000000000000018,0.03299999999999992
2007_003000,0.915,1.0,0.915,0.955,1.0,0.955,0.039999999999999925,0.0,0.039999999999999925
2007_003118,0.425,0.718,0.465,0.431,0.688,0.477,0.006000000000000005,-0.030000000000000027,0.011999999999999955
2007_003178,0.747,0.754,0.988,0.794,0.794,1.0,0.04700000000000004,0.040000000000000036,0.01200000000000001
2007_003189,0.694,0.856,0.767,0.769,0.865,0.841,0.07500000000000007,0.009000000000000008,0.07399999999999995
2007_003190,0.964,0.976,0.987,0.974,0.978,0.996,0.010000000000000009,0.0020000000000000018,0.009000000000000008
2007_003191,0.988,0.993,0.995,0.993,0.993,1.0,0.0050000000000000044,0.0,0.0050000000000000044
2007_003205,0.835,0.859,0.969,0.892,0.9,0.99,0.05700000000000005,0.041000000000000036,0.02100000000000002
2007_003207,0.586,0.593,0.982,0.572,0.576,0.986,-0.014000000000000012,-0.017000000000000015,0.0040000000000000036
2007_003251,0.111,0.162,0.247,0.118,0.154,0.25,0.006999999999999992,-0.008000000000000007,0.0030000000000000027
2007_003267,0.952,1.0,0.952,0.988,1.0,0.988,0.03600000000000003,0.0,0.03600000000000003
2007_003286,0.819,0.819,0.999,0.848,0.849,0.999,0.029000000000000026,0.030000000000000027,0.0
2007_003330,0.23,0.991,0.231,0.004,0.647,0.004,-0.226,-0.344,-0.227
2007_003431,0.9,0.957,0.94,0.965,0.973,0.991,0.06499999999999995,0.016000000000000014,0.051000000000000045
2007_003451,0.179,0.183,0.953,0.205,0.21,0.958,0.025999999999999995,0.026999999999999996,0.0050000000000000044
2007_003525,0.97,0.975,0.996,0.977,0.98,0.997,0.007000000000000006,0.0050000000000000044,0.0010000000000000009
2007_003529,0.164,0.7,0.27,0.163,0.704,0.267,-0.0010000000000000009,0.0040000000000000036,-0.0030000000000000027
2007_003541,0.598,0.646,0.883,0.606,0.649,0.901,0.008000000000000007,0.0030000000000000027,0.018000000000000016
2007_003565,0.981,0.996,0.985,0.994,0.999,0.996,0.013000000000000012,0.0030000000000000027,0.01100000000000001
2007_003580,0.926,0.931,0.994,0.917,0.918,0.999,-0.009000000000000008,-0.013000000000000012,0.0050000000000000044
2007_003593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007_003604,0.851,0.879,0.955,0.854,0.88,0.957,0.0030000000000000027,0.0010000000000000009,0.0020000000000000018
2007_003668,0.847,0.959,0.879,0.845,0.955,0.88,-0.0020000000000000018,-0.0040000000000000036,0.0010000000000000009
2007_003715,0.948,0.954,0.993,0.973,0.976,0.996,0.025000000000000022,0.02200000000000002,0.0030000000000000027
2007_003778,0.823,0.917,0.876,0.821,0.913,0.875,-0.0020000000000000018,-0.0040000000000000036,-0.0010000000000000009
2007_003788,0.886,0.899,0.986,0.889,0.902,0.986,0.0030000000000000027,0.0030000000000000027,0.0
2007_003815,0.825,0.899,0.909,0.917,0.943,0.97,0.09200000000000008,0.04399999999999993,0.06099999999999994
2007_003876,0.812,0.827,0.977,0.902,0.994,0.907,0.08999999999999997,0.16700000000000004,-0.06999999999999995
2007_003889,0.551,0.641,0.809,0.649,0.713,0.894,0.09799999999999998,0.07199999999999995,0.08499999999999996
2007_003910,0.664,0.701,0.93,0.84,0.887,0.941,0.17599999999999993,0.18600000000000005,0.010999999999999899
2007_004003,0.838,0.858,0.973,0.866,0.868,0.997,0.028000000000000025,0.010000000000000009,0.02400000000000002
2007_004009,0.997,1.0,0.997,0.998,1.0,0.998,0.0010000000000000009,0.0,0.0010000000000000009
2007_004065,0.944,0.95,0.994,0.98,0.984,0.996,0.03600000000000003,0.03400000000000003,0.0020000000000000018
2007_004081,0.458,1.0,0.458,0.438,0.694,0.595,-0.020000000000000018,-0.30600000000000005,0.13699999999999996
2007_004166,0.348,0.419,0.674,0.359,0.428,0.689,0.01100000000000001,0.009000000000000008,0.014999999999999902
2007_004289,0.811,0.83,0.972,0.823,0.832,0.987,0.0119999999999999,0.0020000000000000018,0.015000000000000013
2007_004291,0.357,0.484,0.366,0.395,0.486,0.405,0.038000000000000034,0.0020000000000000018,0.039000000000000035
2007_004328,0.876,1.0,0.876,0.904,1.0,0.904,0.028000000000000025,0.0,0.028000000000000025
2007_004423,0.928,0.978,0.948,0.952,0.975,0.976,0.02399999999999991,-0.0030000000000000027,0.028000000000000025
2007_004459,0.638,0.648,0.976,0.745,0.758,0.977,0.10699999999999998,0.10999999999999999,0.0010000000000000009
2007_004476,0.703,0.936,0.722,0.718,0.983,0.723,0.015000000000000013,0.04699999999999993,0.0010000000000000009
2007_004481,0.859,0.943,0.905,0.871,0.949,0.914,0.01200000000000001,0.006000000000000005,0.009000000000000008
2007_004500,0.384,0.782,0.431,0.422,0.917,0.438,0.03799999999999998,0.135,0.007000000000000006
2007_004537,0.515,0.741,0.648,0.496,0.731,0.632,-0.019000000000000017,-0.010000000000000009,-0.016000000000000014
2007_004627,0.001,1.0,0.001,0.246,1.0,0.246,0.245,0.0,0.245
2007_004663,0.524,0.526,0.995,0.523,0.524,0.997,-0.0010000000000000009,-0.0020000000000000018,0.0020000000000000018
2007_004705,0.109,0.113,0.854,0.102,0.108,0.794,-0.007000000000000006,-0.0050000000000000044,-0.05999999999999994
2007_004707,0.642,0.771,0.785,0.844,0.853,0.991,0.20199999999999996,0.08199999999999996,0.20599999999999996
2007_004768,0.976,0.996,0.98,0.985,0.999,0.987,0.009000000000000008,0.0030000000000000027,0.007000000000000006
2007_004769,0.617,0.671,0.895,0.56,0.606,0.887,-0.05699999999999994,-0.06500000000000006,-0.008000000000000007
2007_004810,0.636,0.728,0.834,0.704,0.784,0.873,0.06799999999999995,0.05600000000000005,0.039000000000000035
2007_004830,0.797,0.806,0.986,0.88,0.884,0.995,0.08299999999999996,0.07799999999999996,0.009000000000000008
2007_004841,0.97,0.988,0.982,0.992,0.992,1.0,0.02200000000000002,0.0040000000000000036,0.018000000000000016
2007_004948,0.628,0.645,0.96,0.635,0.646,0.973,0.007000000000000006,0.0010000000000000009,0.013000000000000012
2007_004951,0.885,0.889,0.995,0.978,0.98,0.998,0.09299999999999997,0.09099999999999997,0.0030000000000000027
2007_004988,0.59,0.593,0.99,0.598,0.599,0.996,0.008000000000000007,0.006000000000000005,0.006000000000000005
2007_004998,0.969,0.999,0.97,0.983,1.0,0.983,0.014000000000000012,0.0010000000000000009,0.013000000000000012
2007_005043,0.954,0.99,0.964,1.0,1.0,1.0,0.04600000000000004,0.010000000000000009,0.03600000000000003
2007_005064,0.453,0.549,0.732,0.502,0.622,0.72,0.04899999999999999,0.07299999999999995,-0.01200000000000001
2007_005086,0.267,0.274,0.852,0.273,0.278,0.85,0.006000000000000005,0.0040000000000000036,-0.0020000000000000018
2007_005124,0.423,0.988,0.425,0.408,0.997,0.409,-0.015000000000000013,0.009000000000000008,-0.016000000000000014
2007_005130,0.802,0.994,0.806,0.834,0.998,0.835,0.03199999999999992,0.0040000000000000036,0.028999999999999915
2007_005144,0.991,0.999,0.992,0.995,1.0,0.995,0.0040000000000000036,0.0010000000000000009,0.0030000000000000027
2007_005210,0.561,0.627,0.841,0.639,0.64,0.998,0.07799999999999996,0.013000000000000012,0.15700000000000003
2007_005212,0.065,0.067,0.824,0.077,0.078,0.892,0.011999999999999997,0.010999999999999996,0.06800000000000006
2007_005227,0.915,0.978,0.934,0.948,0.973,0.974,0.03299999999999992,-0.0050000000000000044,0.039999999999999925
2007_005248,0.222,0.999,0.222,0.303,1.0,0.303,0.08099999999999999,0.0010000000000000009,0.08099999999999999
2007_005262,0.912,0.942,0.966,0.979,0.984,0.994,0.06699999999999995,0.04200000000000004,0.028000000000000025
2007_005264,0.657,0.999,0.657,0.51,0.999,0.51,-0.14700000000000002,0.0,-0.14700000000000002
2007_005266,0.147,0.157,0.865,0.114,0.126,0.772,-0.03299999999999999,-0.031,-0.09299999999999997
2007_005273,0.903,0.93,0.969,0.949,0.954,0.994,0.04599999999999993,0.02399999999999991,0.025000000000000022
2007_005314,0.968,0.969,0.999,0.976,0.976,1.0,0.008000000000000007,0.007000000000000006,0.0010000000000000009
2007_005360,0.783,0.788,0.993,0.768,0.772,0.993,-0.015000000000000013,-0.016000000000000014,0.0
2007_005368,0.424,0.927,0.483,0.426,0.933,0.482,0.0020000000000000018,0.006000000000000005,-0.0010000000000000009
2007_005430,0.299,0.311,0.914,0.324,0.329,0.932,0.025000000000000022,0.018000000000000016,0.018000000000000016
2007_005647,0.18,0.245,0.385,0.195,0.272,0.386,0.015000000000000013,0.027000000000000024,0.0010000000000000009
2007_005688,0.414,0.998,0.414,0.424,0.997,0.425,0.010000000000000009,-0.0010000000000000009,0.01100000000000001
2007_005702,0.542,0.579,0.919,0.542,0.579,0.92,0.0,0.0,0.0010000000000000009
2007_005790,0.794,0.835,0.945,0.812,0.851,0.949,0.018000000000000016,0.016000000000000014,0.0040000000000000036
2007_005797,0.909,0.956,0.948,0.942,0.975,0.966,0.03299999999999992,0.019000000000000017,0.018000000000000016
2007_005859,0.286,0.969,0.288,0.245,0.956,0.248,-0.04099999999999998,-0.013000000000000012,-0.03999999999999998
2007_005878,0.913,0.937,0.972,0.978,0.99,0.988,0.06499999999999995,0.052999999999999936,0.016000000000000014
2007_005902,0.638,0.653,0.966,0.673,0.685,0.976,0.03500000000000003,0.03200000000000003,0.010000000000000009
2007_005951,0.722,0.767,0.929,0.722,0.765,0.931,0.0,-0.0020000000000000018,0.0020000000000000018
2007_005988,0.74,0.982,0.749,0.895,0.996,0.898,0.15500000000000003,0.014000000000000012,0.14900000000000002
2007_005989,0.816,0.858,0.946,0.875,0.915,0.953,0.05900000000000005,0.05700000000000005,0.007000000000000006
2007_006004,0.758,0.823,0.895,0.804,0.875,0.903,0.04600000000000004,0.052000000000000046,0.008000000000000007
2007_006066,0.378,0.412,0.801,0.384,0.418,0.817,0.006000000000000005,0.006000000000000005,0.015999999999999903
2007_006134,0.943,0.986,0.955,0.983,0.994,0.989,0.040000000000000036,0.008000000000000007,0.03400000000000003
2007_006136,0.812,0.999,0.813,0.99,0.999,0.991,0.17799999999999994,0.0,0.17800000000000005
2007_006151,0.844,0.889,0.944,0.952,0.976,0.975,0.10799999999999998,0.08699999999999997,0.031000000000000028
2007_006212,0.566,0.566,1.0,0.583,0.583,1.0,0.017000000000000015,0.017000000000000015,0.0
2007_006232,0.877,0.932,0.937,0.905,0.96,0.941,0.028000000000000025,0.027999999999999914,0.0039999999999998925
2007_006254,0.404,0.404,1.0,0.468,0.468,1.0,0.064,0.064,0.0
2007_006281,0.833,0.844,0.985,0.853,0.858,0.992,0.020000000000000018,0.014000000000000012,0.007000000000000006
2007_006303,0.749,0.751,0.996,0.7,0.7,1.0,-0.049000000000000044,-0.051000000000000045,0.0040000000000000036
2007_006317,0.542,0.601,0.909,0.547,0.608,0.909,0.0050000000000000044,0.007000000000000006,0.0
2007_006400,0.641,0.644,0.992,0.669,0.669,1.0,0.028000000000000025,0.025000000000000022,0.008000000000000007
2007_006409,0.431,0.611,0.611,0.469,0.644,0.698,0.03799999999999998,0.03300000000000003,0.08699999999999997
2007_006445,0.852,0.93,0.911,0.878,0.941,0.93,0.026000000000000023,0.010999999999999899,0.019000000000000017
2007_006477,0.8,0.872,0.905,0.853,0.883,0.959,0.052999999999999936,0.01100000000000001,0.05399999999999994
2007_006483,0.485,0.526,0.879,0.522,0.525,0.97,0.03700000000000003,-0.0010000000000000009,0.09099999999999997
2007_006490,0.687,0.803,0.88,0.935,0.986,0.948,0.248,0.18299999999999994,0.06799999999999995
2007_006530,0.186,0.489,0.25,0.192,0.52,0.249,0.006000000000000005,0.031000000000000028,-0.0010000000000000009
2007_006581,0.354,0.362,0.943,0.338,0.348,0.928,-0.01599999999999996,-0.014000000000000012,-0.014999999999999902
2007_006585,0.61,0.773,0.746,0.619,0.795,0.741,0.009000000000000008,0.02200000000000002,-0.0050000000000000044
2007_006605,0.556,0.562,0.983,0.606,0.61,0.99,0.04999999999999993,0.04799999999999993,0.007000000000000006
2007_006615,0.907,0.966,0.938,0.93,0.993,0.937,0.02300000000000002,0.027000000000000024,-0.0009999999999998899
2007_006641,0.987,0.995,0.992,0.98,0.984,0.996,-0.007000000000000006,-0.01100000000000001,0.0040000000000000036
2007_006660,0.791,0.835,0.938,0.851,0.853,0.997,0.05999999999999994,0.018000000000000016,0.05900000000000005
2007_006661,0.497,0.79,0.576,0.614,0.892,0.674,0.11699999999999999,0.10199999999999998,0.09800000000000009
2007_006673,0.374,0.721,0.438,0.371,0.725,0.431,-0.0030000000000000027,0.0040000000000000036,-0.007000000000000006
2007_006699,0.938,0.985,0.951,0.932,0.991,0.94,-0.005999999999999894,0.006000000000000005,-0.01100000000000001
2007_006704,0.031,0.055,0.065,0.026,0.046,0.054,-0.005000000000000001,-0.009000000000000001,-0.011000000000000003
2007_006803,0.685,0.761,0.92,0.727,0.774,0.95,0.041999999999999926,0.013000000000000012,0.029999999999999916
2007_006832,0.921,0.996,0.925,0.918,0.996,0.921,-0.0030000000000000027,0.0,-0.0040000000000000036
2007_006865,0.92,0.998,0.921,0.973,0.999,0.973,0.052999999999999936,0.0010000000000000009,0.051999999999999935
2007_006899,0.983,0.989,0.994,0.997,0.997,1.0,0.014000000000000012,0.008000000000000007,0.006000000000000005
2007_006900,0.772,0.773,0.998,0.786,0.786,0.999,0.014000000000000012,0.013000000000000012,0.0010000000000000009
2007_006944,0.46,0.486,0.472,0.472,0.491,0.48,0.011999999999999955,0.0050000000000000044,0.008000000000000007
2007_007003,0.244,0.83,0.326,0.253,0.841,0.328,0.009000000000000008,0.01100000000000001,0.0020000000000000018
2007_007021,0.143,0.181,0.224,0.144,0.183,0.223,0.0010000000000000009,0.0020000000000000018,-0.0010000000000000009
2007_007048,0.467,0.863,0.506,0.44,0.858,0.475,-0.027000000000000024,-0.0050000000000000044,-0.031000000000000028
2007_007098,0.981,0.996,0.986,0.982,0.992,0.99,0.0010000000000000009,-0.0040000000000000036,0.0040000000000000036
2007_007154,0.99,0.998,0.992,0.998,0.998,1.0,0.008000000000000007,0.0,0.008000000000000007
2007_007230,0.982,0.987,0.995,0.993,0.995,0.998,0.01100000000000001,0.008000000000000007,0.0030000000000000027
2007_007250,0.243,0.243,0.992,0.237,0.238,0.992,-0.006000000000000005,-0.0050000000000000044,0.0
2007_007355,0.741,0.843,0.861,0.848,0.926,0.91,0.10699999999999998,0.08300000000000007,0.049000000000000044
2007_007387,0.921,0.924,0.996,0.935,0.936,0.999,0.014000000000000012,0.01200000000000001,0.0030000000000000027
2007_007398,0.595,0.989,0.599,0.625,0.997,0.626,0.030000000000000027,0.008000000000000007,0.027000000000000024
2007_007415,0.934,0.97,0.962,0.953,0.971,0.98,0.018999999999999906,0.0010000000000000009,0.018000000000000016
2007_007432,0.319,0.319,1.0,0.294,0.294,1.0,-0.025000000000000022,-0.025000000000000022,0.0
2007_007447,0.441,0.475,0.889,0.435,0.475,0.868,-0.006000000000000005,0.0,-0.02100000000000002
2007_007480,0.676,0.693,0.966,0.709,0.738,0.948,0.03299999999999992,0.04500000000000004,-0.018000000000000016
2007_007481,0.982,0.983,0.998,0.989,0.991,0.998,0.007000000000000006,0.008000000000000007,0.0
2007_007523,0.618,0.989,0.622,0.988,1.0,0.988,0.37,0.01100000000000001,0.366
2007_007530,0.756,0.791,0.955,0.786,0.808,0.974,0.030000000000000027,0.017000000000000015,0.019000000000000017
2007_007585,0.864,0.924,0.93,0.882,0.922,0.953,0.018000000000000016,-0.0020000000000000018,0.02299999999999991
2007_007591,0.797,0.838,0.942,0.82,0.861,0.946,0.02299999999999991,0.02300000000000002,0.0040000000000000036
2007_007621,0.922,0.942,0.978,0.881,0.881,1.0,-0.041000000000000036,-0.06099999999999994,0.02200000000000002
2007_007649,0.384,0.595,0.457,0.365,0.558,0.438,-0.019000000000000017,-0.03699999999999992,-0.019000000000000017
2007_007698,0.847,0.852,0.993,0.993,0.995,0.998,0.14600000000000002,0.14300000000000002,0.0050000000000000044
2007_007726,0.483,0.531,0.527,0.479,0.52,0.525,-0.0040000000000000036,-0.01100000000000001,-0.0020000000000000018
